date,resPropPrice,fx,dsrPnfs,dsrHousehold,dsrNfc,policyRate,financialStressIndex,bankCreditPnfs_yoy_L1,totalCreditPnfsLCY_yoy_L1,totalCreditPnfs2GDP_yoy_L1,bankCreditPnfs_yoy_L2,totalCreditPnfsLCY_yoy_L2,totalCreditPnfs2GDP_yoy_L2,cpi_yoy_L1,fx_std,is_systemic_crisis,EAtermspread,USpolicyRate,UStermSpread
2000-07-01,118.0858,1.1058496615384616,14.300000000000002,9.7,29.899999999999995,4.328282828282828,0.14738,2.572374384369791,9.241738685311262,6.279434850863419,1.8038798060049157,9.046533174623628,6.464485235434969,0.9942988,0.1262493670676322,0.0,,6.5,-0.3275384615384615
2000-10-01,117.6994,1.152572126984127,14.800000000000002,9.8,31.600000000000005,4.732323232323233,0.12196,-3.032947666269603,8.047258917304912,4.972804972804967,2.572374384369791,9.241738685311262,6.279434850863419,1.3377583999999998,0.1163642525295419,0.0,,6.5,-0.1475
2001-01-01,116.9065,1.08361665625,14.699999999999998,9.8,30.100000000000005,4.75,0.06996,1.2648565179199434,9.49573832947832,6.676783004552345,-3.032947666269603,8.047258917304912,4.972804972804967,1.6614882000000002,0.0710122390296661,1.0,,5.618556701030927,0.4653125
2001-04-01,115.873,1.1466277903225808,14.5,9.7,28.899999999999995,4.614795918367347,0.09544,0.3319808536798696,8.772968673944792,5.847076461769096,1.2648565179199434,9.49573832947832,6.676783004552345,1.6777632,0.0660826406560371,1.0,,4.334183673469388,1.0855384615384616
2001-07-01,115.5665,1.1241910923076923,14.300000000000002,9.7,27.7,4.345959595959596,0.10024,-2.163008370458141,7.309665941018273,4.652880354505151,0.3319808536798696,8.772968673944792,5.847076461769096,2.5013156,0.0624920488492433,1.0,,3.5656565656565657,1.3188709677419357
2001-10-01,115.2273,1.115782615384615,14.1,9.6,26.899999999999995,3.4722222222222223,0.1190399999999999,3.933332106170262,8.079487095452098,5.329385640266482,-2.163008370458141,7.309665941018273,4.652880354505151,2.0591644,0.0522075011356347,1.0,,2.1666666666666665,1.8807352941176472
2002-01-01,114.0475,1.1409279516129032,14.1,9.5,27.5,3.25,0.13372,-0.5117130804483505,4.05874002187625,0.8534850640113945,3.933332106170262,8.079487095452098,5.329385640266482,1.7401952,0.0286962905481559,1.0,,1.75,1.8783870967741931
2002-04-01,113.661,1.0895684603174605,14.199999999999998,9.5,28.0,3.25,0.14832,-0.9676629333694288,2.7459664705214326,0.2124645892351395,-0.5117130804483505,4.05874002187625,0.8534850640113945,1.9643922,0.0428439758329888,1.0,,1.75,1.8598571428571429
2002-07-01,113.2678,1.0164095147058825,14.300000000000002,9.5,28.2,3.25,0.26692,8.026435649310093,3.336318107686042,1.199717713479198,-0.9676629333694288,2.7459664705214326,0.2124645892351395,1.4282072,0.107531937577174,1.0,,1.75,2.033142857142857
2002-10-01,112.9082,1.001369606060606,14.300000000000002,9.5,28.3,3.113636363636364,0.241,4.535065327293664,2.9422448001408696,1.054111033028815,8.026435649310093,3.336318107686042,1.199717713479198,1.2158094,0.1303541820789972,1.0,,1.457070707070707,2.102794117647059
2003-01-01,111.5994,0.9320491746031746,14.300000000000002,9.5,28.600000000000005,2.6829896907216493,0.2149,9.084370598589508,2.8322664646698303,1.6220028208744577,4.535065327293664,2.9422448001408696,1.054111033028815,1.2182006,0.1292178814237023,1.0,,1.25,2.270983606557377
2003-04-01,111.2947,0.8815845,14.300000000000002,9.5,29.399999999999995,2.36734693877551,0.26812,11.960209924592611,3.24635701112721,2.1201413427561766,9.084370598589508,2.8322664646698303,1.6220028208744577,1.0787744,0.125460654734098,1.0,,1.2321428571428572,2.2118840579710146
2003-07-01,110.4568,0.8887096323529411,14.300000000000002,9.4,29.5,2.0,0.21836,7.971459173176432,2.4385184031477047,1.3947001394700065,11.960209924592611,3.24635701112721,2.1201413427561766,0.8191022,0.110033071306613,1.0,,1.0,2.5292857142857144
2003-10-01,109.7389,0.8420871515151515,14.300000000000002,9.3,29.899999999999995,2.0,0.1589999999999999,9.070707831812076,1.69893948521862,0.9735744089012456,7.971459173176432,2.4385184031477047,1.3947001394700065,0.9456054,0.073717091349708,1.0,,1.0,2.4311764705882357
2004-01-01,108.4347,0.80040390625,13.9,9.2,28.2,2.0,0.12516,9.61097798001951,0.7702883900726931,0.1387925052047212,9.070707831812076,1.69893948521862,0.9735744089012456,1.1777902,0.0814660394844239,0.0,,1.0,2.3234920634920635
2004-04-01,107.8523,0.8296841692307693,13.6,9.2,27.0,2.0,0.07966,5.386926603268094,-1.224750371700012,-2.145328719723183,9.61097798001951,0.7702883900726931,0.1387925052047212,1.0676452,0.073494269582524,0.0,,1.0051020408163265,2.150588235294118
2004-07-01,107.2734,0.8185150294117647,13.5,9.1,26.2,2.0,0.0693,2.4652025745790285,-2.050867112534882,-3.5763411279229773,5.386926603268094,-1.224750371700012,-2.145328719723183,1.7772972,0.0353886427756838,0.0,1.4965015580642975,1.414141414141414,1.7577142857142858
2004-10-01,106.58570000000002,0.7723762205882353,13.199999999999998,9.1,25.3,2.0,0.06552,2.3938716362878587,-2.4713590201022484,-4.132231404958676,2.4652025745790285,-2.050867112534882,-3.5763411279229773,1.7721519999999995,0.0500287853390421,0.0,1.4360593040728218,1.9343434343434345,1.3721739130434785
2005-01-01,106.0967,0.7627258064516129,13.199999999999998,9.0,25.600000000000005,2.0,0.0674,2.920309011676858,-2.7337992678172385,-4.435204435204443,2.3938716362878587,-2.4713590201022484,-4.132231404958676,1.8974024,0.0663996249465113,0.0,1.2005093954084771,2.4329896907216493,0.847936507936508
2005-04-01,105.2405,0.7939579253731343,13.199999999999998,8.9,25.5,2.0,0.07586,1.92393410229017,-1.7964636976742332,-3.323903818953333,2.920309011676858,-2.7337992678172385,-4.435204435204443,1.5838722,0.0495937635986943,0.0,1.1907019330048196,2.9107142857142856,0.5252857142857144
2005-07-01,104.263,0.8200916029411766,13.1,8.9,25.5,2.0,0.0615,-1.5096416024158343,-1.1740276793033133,-2.068473609129795,1.92393410229017,-1.7964636976742332,-3.323903818953333,1.147383,0.0509408387247191,0.0,1.034385861387235,3.419191919191919,0.2611267605633802
2005-10-01,104.1059,0.84158021875,12.9,8.8,24.8,2.0681818181818183,0.0617599999999999,-2.404474923469757,-0.6243465453846464,-1.5804597701149392,-1.5096416024158343,-1.1740276793033133,-2.068473609129795,1.691636,0.0680610283426854,0.0,0.729283888445362,3.95959595959596,0.1233333333333333
2006-01-01,102.6415,0.8318094153846154,12.9,8.7,24.5,2.314432989690722,0.03288,-8.127326656636702,0.2428595685126433,-1.087744742567076,-2.404474923469757,-0.6243465453846464,-1.5804597701149392,1.7390316,0.0411425309625451,0.0,0.5178186872823555,4.430412371134021,-0.02890625
2006-04-01,103.6188,0.7950367903225807,12.800000000000002,8.7,24.399999999999995,2.5433673469387754,0.05342,-3.170112136127945,1.828162023969715,0.0,-8.127326656636702,0.2428595685126433,-1.087744742567076,1.6836148000000002,0.0401696263998239,0.0,0.6034887163330291,4.895408163265306,0.0766153846153846
2006-07-01,104.2189,0.7847818769230769,12.800000000000002,8.6,24.399999999999995,2.888888888888889,0.05482,3.750114559159989,2.543319930837451,-0.2913328477785915,-3.170112136127945,1.828162023969715,0.0,2.0223212,0.0552472911522455,0.0,0.3321343193116315,5.25,-0.0347692307692307
2006-10-01,103.0737,0.7763037936507937,12.699999999999998,8.5,23.8,3.2702020202020203,0.0315,3.756776242119275,3.097320818295546,-0.4379562043795526,3.750114559159989,2.543319930837451,-0.2913328477785915,1.5903497999999998,0.0488966790993894,0.0,0.0993971133190742,5.25,-0.10640625
2007-01-01,101.6453,0.76310078125,12.5,8.4,23.2,3.5489690721649483,0.022,6.978738320907074,3.0433072583832432,-1.3196480938416522,3.756776242119275,3.097320818295546,-0.4379562043795526,1.2202344,0.0270324769527771,0.0,0.1103424349001582,5.25,-0.081875
2007-04-01,100.7383,0.7417955967741935,12.4,8.3,23.0,3.798469387755102,0.03596,5.207764159151473,1.617709677214374,-3.3650329188002925,6.978738320907074,3.0433072583832432,-1.3196480938416522,1.8257162,0.0374558146809761,0.0,0.1052607869997424,5.25,0.0409090909090909
2007-07-01,100.8471,0.7280084461538462,12.300000000000002,8.3,22.5,4.0,0.07438,2.7129787497922164,0.8598192913655156,-4.163623082542012,5.207764159151473,1.617709677214374,-3.3650329188002925,2.0305056,0.0431008281754575,0.0,0.2095707030048527,5.179292929292929,0.3453125
2007-10-01,100.1891,0.6908656363636364,12.4,8.2,22.7,4.0,0.03938,6.157315800533314,0.0608427974221559,-5.058651026392969,2.7129787497922164,0.8598192913655156,-4.163623082542012,2.19174,0.0607366823085137,1.0,0.3362413422205892,4.525252525252525,0.756764705882353
2008-01-01,101.639,0.6682099032258065,12.300000000000002,8.1,22.7,4.0,0.08744,7.439960074205509,0.7866668866727045,-3.937592867756301,6.157315800533314,0.0608427974221559,-5.058651026392969,2.9657498,0.0674970048324576,1.0,0.6403194103817696,3.2193877551020407,1.6341935483870966
2008-04-01,101.8112,0.6401335,12.199999999999998,8.0,22.8,4.0,0.05184,12.219182773902393,1.1879086484865242,-3.02800908402725,7.439960074205509,0.7866668866727045,-3.937592867756301,2.8445346,0.0742804966306078,1.0,0.3339804363022096,2.079081632653061,1.4861428571428572
2008-07-01,100.63259999999998,0.6646573382352942,12.199999999999998,8.0,23.2,4.224747474747475,0.12362,11.696661280696352,1.169516026384132,-2.5152439024390016,12.219182773902393,1.1879086484865242,-3.02800908402725,2.653271,0.0415380571391491,1.0,0.2672769757190609,2.0,1.4928571428571429
2008-10-01,101.9201,0.7585847272727273,12.300000000000002,8.0,24.0,3.393939393939394,0.47244,2.4539088979451007,1.7651438219187687,-1.0038610038610174,11.696661280696352,1.169516026384132,-2.5152439024390016,3.1809346,0.1039598965197438,1.0,1.3424905331307342,1.0467171717171715,2.011176470588236
2009-01-01,101.7331,0.7680672380952381,12.4,7.900000000000001,24.899999999999995,2.0,0.4755,-1.3051115002303493,2.0762048385368104,0.4640371229698292,2.4539088979451007,1.7651438219187687,-1.0038610038610174,1.970044,0.1298781904184716,1.0,2.1770739870849822,0.125,1.8319672131147544
2009-04-01,100.184,0.73480990625,12.5,7.900000000000001,25.600000000000005,1.1428571428571428,0.35994,-8.332145095107945,1.834185910033037,2.576112412177989,-1.3051115002303493,2.0762048385368104,0.4640371229698292,0.8606362000000001,0.0934497277454372,1.0,2.4126252382524247,0.125,2.2768571428571427
2009-07-01,99.9545,0.6996368823529412,12.4,7.900000000000001,25.399999999999995,1.0,0.25262,-5.881137753829735,1.277625254739112,3.987490226739632,-8.332145095107945,1.834185910033037,2.576112412177989,0.4626171999999999,0.0609806359028995,1.0,2.3787354808516428,0.125,2.4882857142857144
