date,cpi_yoy,fx,month,cpi_yoy_growthRate,cpi_yoy_lag1,cpi_yoy_lag2,bankCreditPnfs_lag2,totalCreditPnfsLCY_lag2,cpi_yoy_lag3,bankCreditPnfs_lag3,totalCreditPnfsLCY_lag3,cpi_yoy_lag4,bankCreditPnfs_lag4,totalCreditPnfsLCY_lag4,fx_std,is_systemic_crisis
1986-01-01,0.9823708,1.2025284262295082,1986-01,-0.5646354338259427,1.5755136,2.1054568,477.3456666666666,1177.995,2.3812672,450.82633333333337,1173.213,2.2564326,443.4213333333333,1158.413,0.0388596697808479,0.0
1986-04-01,0.0,1.1498068888888888,1986-04,-1.0,0.9823708,1.5755136,507.512,1206.391,2.1054568,477.3456666666666,1177.995,2.3812672,450.82633333333337,1173.213,0.0458153023581192,0.0
1986-07-01,-0.3325948,1.0684201764705883,1986-07,-1.1579680001033503,0.0,0.9823708,521.9083333333333,1206.928,1.5755136,507.512,1206.391,2.1054568,477.3456666666666,1177.995,0.0461280104329577,0.0
1986-10-01,-0.8640824,1.0264050923076922,1986-10,-1.5484449007612502,-0.3325948,0.0,543.3013333333333,1223.58,0.9823708,521.9083333333333,1206.928,1.5755136,507.512,1206.391,0.0489256823172261,0.0
1987-01-01,-0.617737,0.940542,1987-01,-1.6288226400866148,-0.8640824,-0.3325948,567.3076666666667,1229.752,0.0,543.3013333333333,1223.58,0.9823708,521.9083333333333,1206.928,0.0426287411844575,0.0
1987-04-01,0.0221484,0.9235763225806451,1987-04,inf,-0.617737,-0.8640824,588.7139999999999,1245.603,-0.3325948,567.3076666666667,1229.752,0.0,543.3013333333333,1223.58,0.0596126394338486,0.0
1987-07-01,0.4895324,0.9400709264705882,1987-07,-2.4718582491367878,0.0221484,-0.617737,607.9333333333334,1241.99,-0.8640824,588.7139999999999,1245.603,-0.3325948,567.3076666666667,1229.752,0.0848280020266423,0.0
1987-10-01,0.9387725999999998,0.8742534477611941,1987-10,-2.0864387470454204,0.4895324,0.0221484,608.8870000000001,1252.565,-0.617737,607.9333333333334,1241.99,-0.8640824,588.7139999999999,1245.603,0.0940004409886267,0.0
1988-01-01,0.9328894,0.857124046875,1988-02,-2.510172452030557,0.9387725999999998,0.4895324,616.5393333333333,1271.402,0.0221484,608.8870000000001,1252.565,-0.617737,607.9333333333334,1241.99,0.0722472531699751,0.0
1988-04-01,1.085002,0.8738862786885245,1988-04,47.98782756316484,0.9328894,0.9387725999999998,674.788,1287.213,0.4895324,616.5393333333333,1271.402,0.0221484,608.8870000000001,1252.565,0.0841126530502154,0.0
1988-07-01,1.2619692,0.953524294117647,1988-07,1.5779074071501702,1.085002,0.9328894,660.1303333333334,1289.946,0.9387725999999998,674.788,1287.213,0.4895324,616.5393333333333,1271.402,0.1359506943020173,0.0
1988-10-01,1.5942682,0.9069493125,1988-10,0.6982474776106591,1.2619692,1.085002,639.0526666666666,1307.696,0.9328894,660.1303333333334,1289.946,0.9387725999999998,674.788,1287.213,0.1211653322704235,0.0
1989-01-01,2.376676,0.94582475,1989-01,1.5476503431167723,1.5942682,1.2619692,635.7893333333333,1321.052,1.085002,639.0526666666666,1307.696,0.9328894,660.1303333333334,1289.946,0.1164451609449356,0.0
1989-04-01,2.9135494,0.9897093225806451,1989-04,1.6852940363243567,2.376676,1.5942682,668.872,1348.117,1.2619692,635.7893333333333,1321.052,1.085002,639.0526666666666,1307.696,0.1174993641629301,0.0
1989-07-01,2.7765778,0.9837069230769232,1989-07,1.2001945847806748,2.9135494,2.376676,652.4986666666667,1357.619,1.5942682,668.872,1348.117,1.2619692,635.7893333333333,1321.052,0.0903158749839981,0.0
1989-10-01,3.0296914,0.9281009682539682,1989-10,0.9003649448693765,2.7765778,2.9135494,654.6836666666667,1381.189,2.376676,652.4986666666667,1357.619,1.5942682,668.872,1348.117,0.0969148304601744,0.0
1990-01-01,2.7084852,0.864743890625,1990-01,0.1396106158348888,3.0296914,2.7765778,679.6463333333334,1401.3010000000002,2.9135494,654.6836666666667,1381.189,2.376676,652.4986666666667,1357.619,0.1049552105090954,0.0
1990-04-01,2.277526,0.857732344262295,1990-04,-0.2182984781380401,2.7084852,3.0296914,733.9746666666666,1437.595,2.7765778,679.6463333333334,1401.3010000000002,2.9135494,654.6836666666667,1381.189,0.064602719206899,0.0
1990-07-01,2.6163884,0.815082328125,1990-07,-0.0576931069606622,2.277526,2.7084852,745.727,1464.21,3.0296914,733.9746666666666,1437.595,2.7765778,679.6463333333334,1401.3010000000002,0.0523544583107605,0.0
1990-10-01,3.17381,0.7689363636363636,1990-10,0.0475687391791785,2.6163884,2.277526,755.3346666666666,1474.7030000000002,2.7084852,745.727,1464.21,3.0296914,733.9746666666666,1437.595,0.0523789294165323,0.0
